username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-11-29 14:19,0,0,"Yes",,,,"935996750577401856",https://twitter.com/glossier/status/935996750577401856
,2017-11-29 14:00,1,28,""The product @emrata trusts to groom her brows—Boy Brow." http://www. byrdie.com/emily-ratajkow ski-beauty-routine/ …",,@emrata,,"935991762035679232",https://twitter.com/glossier/status/935991762035679232
,2017-11-29 12:08,0,0,"We'll be shipping to Quebec in 2018! Stay tuned for more details.",,,,"935963655048433664",https://twitter.com/glossier/status/935963655048433664
,2017-11-29 12:01,0,0,"DM us with your order number and we can help!",,,,"935961892878802951",https://twitter.com/glossier/status/935961892878802951
,2017-11-29 11:56,107,494,"It’s Wednesday Here’s a cute baby seal. pic.twitter.com/TqRvstzJJK",,,,"935960611615322113",https://twitter.com/glossier/status/935960611615322113
,2017-11-29 10:43,0,1,"We're shipping to Quebec next year. Stay tuned!",,,,"935942262672019456",https://twitter.com/glossier/status/935942262672019456
,2017-11-29 08:00,0,66,"Let us know how Boy Brow changed your life pic.twitter.com/NJAoeICI6k",,,,"935901180970131459",https://twitter.com/glossier/status/935901180970131459
,2017-11-28 14:29,0,0,"Due to the high volume of orders; Glossier You samples were not included in any orders placed during our Black Friday promotion. They are now available",,,,"935636700268843008",https://twitter.com/glossier/status/935636700268843008
,2017-11-28 14:04,0,0,"DM us your order number and we can help!",,,,"935630627033972736",https://twitter.com/glossier/status/935630627033972736
,2017-11-28 14:00,53,280,"pic.twitter.com/pnsDT2S7B7",,,,"935629375545917440",https://twitter.com/glossier/status/935629375545917440
,2017-11-28 13:29,0,0,"DM us and we can help!",,,,"935621729640206337",https://twitter.com/glossier/status/935621729640206337
,2017-11-28 13:28,0,1,"DM us",,,,"935621501444874246",https://twitter.com/glossier/status/935621501444874246
,2017-11-28 12:51,0,0,"Why; yes—yes it is. But it needs to scratched to activate",,,,"935612031557828608",https://twitter.com/glossier/status/935612031557828608
,2017-11-28 12:48,0,1,"DM us and we can help!",,,,"935611357726232576",https://twitter.com/glossier/status/935611357726232576
,2017-11-28 12:46,0,0,"DM us and we can help!",,,,"935610911930441728",https://twitter.com/glossier/status/935610911930441728
,2017-11-28 12:46,0,1,"DM us and we can help!",,,,"935610793743220736",https://twitter.com/glossier/status/935610793743220736
,2017-11-28 11:46,44,358,"Don’t forget to brush (your brows).",,,,"935595819369205760",https://twitter.com/glossier/status/935595819369205760
,2017-11-28 10:28,0,0,"DM us and we can help!",,,,"935576265171619840",https://twitter.com/glossier/status/935576265171619840
,2017-11-28 08:07,1,59,"Good boy meets Boy Brow https://www. glossier.com/products/boy-b row?utm_medium=organicsocial&utm_source=twitter&utm_campaign=post&utm_content=boy_brow_112817 … pic.twitter.com/cdkaxFwXJh",,,,"935540545648197632",https://twitter.com/glossier/status/935540545648197632
,2017-11-28 07:49,0,1,"@blogbeth DM us your order number and we can help",,@blogbeth,,"935536204749172736",https://twitter.com/glossier/status/935536204749172736
,2017-11-28 07:47,0,0,"@jennduck @mttismee @lauraexo @megan_turvey @sophie_larcy @missrqureshi @boobhickey @kaconover27 @_claireeden @janethorsfield @coriecoulson @helsLDN DM us your order number and we can help",,@jennduck @mttismee @lauraexo @megan_turvey @sophie_larcy @missrqureshi @boobhickey @kaconover27 @_claireeden @janethorsfield @coriecoulson @helsLDN,,"935535601348116481",https://twitter.com/glossier/status/935535601348116481
,2017-11-28 07:45,0,1,"Our larger pink pouches arrive with orders of Body Hero and Glossier You",,,,"935535022722965508",https://twitter.com/glossier/status/935535022722965508
,2017-11-28 07:40,0,0,"Make sure that you're logged into your Glossier Account; and the credit will apply at the last step of checkout. If you're still having trouble; DM us and we can help",,,,"935533914747228161",https://twitter.com/glossier/status/935533914747228161
,2017-11-28 07:37,0,0,"DM us and we can help",,,,"935533092202270721",https://twitter.com/glossier/status/935533092202270721
,2017-11-28 07:33,1,2,"DM us and we can help",,,,"935532092544479232",https://twitter.com/glossier/status/935532092544479232
,2017-11-28 07:31,0,0,"DM us your order number and we can help",,,,"935531567539253248",https://twitter.com/glossier/status/935531567539253248
,2017-11-28 07:31,0,0,"DM us your order number and we can help",,,,"935531529396215811",https://twitter.com/glossier/status/935531529396215811
,2017-11-28 07:28,0,0,"DM us your order number and we can help",,,,"935530860056588288",https://twitter.com/glossier/status/935530860056588288
,2017-11-27 14:38,1,0,"",,,,"935276758366113793",https://twitter.com/glossier/status/935276758366113793
,2017-11-27 14:27,0,0,"DM us your email address and issue and we can help!",,,,"935273949864300544",https://twitter.com/glossier/status/935273949864300544
,2017-11-27 13:47,0,0,"DM us your order number and we'll look into it!",,,,"935263849246351361",https://twitter.com/glossier/status/935263849246351361
,2017-11-27 13:44,0,0,"Due to the high volume of orders; Glossier You samples will not be included in any orders placed during our Black Friday promotion.",,,,"935263103238930432",https://twitter.com/glossier/status/935263103238930432
,2017-11-27 13:35,1,3,"Guilty",,,,"935260879758741504",https://twitter.com/glossier/status/935260879758741504
,2017-11-27 11:44,0,0,"Due to the high volume of orders; Glossier You samples will not be included in any orders placed during our Black Friday promotion.",,,,"935232853889224704",https://twitter.com/glossier/status/935232853889224704
,2017-11-27 11:31,0,0,"DM us your email address and issue and we'll look into it!",,,,"935229629564096512",https://twitter.com/glossier/status/935229629564096512
,2017-11-27 11:08,0,0,"Sorry for any trouble! Please send us a DM and we'll figure this out ASAP.",,,,"935223824060215296",https://twitter.com/glossier/status/935223824060215296
,2017-11-27 11:04,0,0,"DM us your email address and we'll look into it!",,,,"935222740554059777",https://twitter.com/glossier/status/935222740554059777
,2017-11-27 11:02,102,322,"Make good choices.",,,,"935222250625695744",https://twitter.com/glossier/status/935222250625695744
,2017-11-27 10:57,0,0,"DM us your issue and email address and we can help!",,,,"935221122232193024",https://twitter.com/glossier/status/935221122232193024
,2017-11-27 10:54,0,1,"Nope! We offer free returns and exchanges",,,,"935220196230549505",https://twitter.com/glossier/status/935220196230549505
,2017-11-27 10:52,0,0,"Yes; accept Canadian debit cards. DM us your email address and we'll look into it!",,,,"935219908761223168",https://twitter.com/glossier/status/935219908761223168
,2017-11-27 10:51,0,0,"DM us and we'll help!",,,,"935219535753424896",https://twitter.com/glossier/status/935219535753424896
,2017-11-27 10:43,0,0,"DM us your email and we'll take care if it!",,,,"935217539491270656",https://twitter.com/glossier/status/935217539491270656
,2017-11-27 08:55,14,82,"Last day to shop Glossier 20% off ends at 11:59 EST https://www. glossier.com/products?utm_m edium=organicsocial&utm_source=twitter&utm_campaign=post&utm_content=bf_5_112717 … pic.twitter.com/pXI2kYFS3h",,,,"935190230516170752",https://twitter.com/glossier/status/935190230516170752
